player_name	normalized_name
Desmond Ridder	desmond ridder
Keith Ford	keith ford
Myles Price	myles price
Laquon Treadwell	laquon treadwell
Will Fuller	will fuller
Sincere McCormick	sincere mccormick
Ben Koyack	ben koyack
Chig Okonkwo	chig okonkwo
Luke Willson	luke willson
LeSean McCoy	lesean mccoy
Ben Victor	benictor
Breshad Perriman	breshad perriman
Adonai Mitchell	adonai mitchell
Tank Bigsby	tank bigsby
Keaontay Ingram	keaontay ingram
A.J. Brown	aj brown
Jaron Brown	jaron brown
Tony Pollard	tony pollard
Jahmyr Gibbs	jahmyr gibbs
Grant DuBose	grant dubose
Danny Gray	danny gray
DaeSean Hamilton	daesean hamilton
Tim Jones	tim jones
Sterling Shepard	sterling shepard
Michael Thomas	michael thomas
Kirk Cousins	kirk cousins
Danny Vitale	dannyitale
Phillip Dorsett	phillip dorsett
Janarion Grant	janarion grant
Geno Smith	geno smith
Cody Thompson	cody thompson
DJ Moore	dj moore
Tyler Huntley	tyler huntley
DeAndre Hopkins	deandre hopkins
Brycen Hopkins	brycen hopkins
Cedrick Wilson Jr.	cedrick wilson
Jordan Mason	jordan mason
John Kelly	john kelly
Rico Dowdle	rico dowdle
Courtland Sutton	courtland sutton
Daylen Baldwin	daylen baldwin
Nate Sudfeld	nate sudfeld
Ben Ellefson	ben ellefson
Jordan Watkins	jordan watkins
Skylar Thompson	skylar thompson
Johnny Mundt	johnny mundt
Jake Fromm	jake fromm
Matthew Slater	matthew slater
Michael Gallup	michael gallup
Tyson Bagent	tyson bagent
Jermaine Kearse	jermaine kearse
Jordan Veasy	jordaneasy
Ben Braunecker	ben braunecker
Sam Sloman	sam sloman
Pat Freiermuth	pat freiermuth
Tyrod Taylor	tyrod taylor
Simi Fehoko	simi fehoko
Kai Forbath	kai forbath
Harrison Butker	harrison butker
Bruce Ellington	bruce ellington
Elijah Moore	elijah moore
Xavier Restrepo	xavier restrepo
Codey McElroy	codey mcelroy
Eric Gray	eric gray
Alfred Blue	alfred blue
Anders Carlson	anders carlson
Kyle Rudolph	kyle rudolph
Dareke Young	dareke young
Lance Kendricks	lance kendricks
De'Anthony Thomas	de'anthony thomas
Beaux Collins	beaux collins
Reggie Bonnafon	reggie bonnafon
Chuba Hubbard	chuba hubbard
Josh Rosen	josh rosen
David Bell	david bell
Audric Estimé	audric estimé
Pierre Garcon	pierre garcon
Andre Baccellia	andre baccellia
Jason Vander Laan	jasonander laan
